id,Candidato,#Hashtags,PersonasMencionadas,Urls,#Palabras,#Retweets
1340390373814878209,Candidato Andrés Arauz,113,104,4,20,25

1340390172450500608,Candidato Andrés Arauz,115,105,4,23,52

1339611240071573504,Candidato Guillermo Lasso,0,3,0,19,0

1339585801588338690,Candidato Guillermo Lasso,1,3,4,18,0

1339272415688478723,Candidato Guillermo Lasso,1,3,4,17,0

1339036723091746818,Candidato Guillermo Lasso,1,3,4,20,0

1338653760344690689,Candidato Guillermo Lasso,2,4,4,23,9

1338649121104793602,Candidato Guillermo Lasso,3,5,4,23,9

1338648367463849988,Candidato Guillermo Lasso,4,6,4,23,9

1338647879020318726,Candidato Guillermo Lasso,5,7,4,23,9

1338647328459268097,Candidato Guillermo Lasso,6,8,4,23,9

1338647297186533378,Candidato Guillermo Lasso,7,9,4,23,9

1338647137601662978,Candidato Guillermo Lasso,8,10,4,23,9

1338646865936576513,Candidato Guillermo Lasso,9,11,4,23,9

1338646774597230593,Candidato Guillermo Lasso,10,12,4,23,9

1338646513019445258,Candidato Guillermo Lasso,11,12,4,20,9

1337741958198996992,Candidato Guillermo Lasso,14,13,4,19,21

1337572714266177539,Candidato Guillermo Lasso,17,14,4,19,21

1337570436675215360,Candidato Guillermo Lasso,20,15,4,19,21

1337508107350646786,Candidato Guillermo Lasso,23,16,4,19,21

1337504765085945856,Candidato Guillermo Lasso,26,17,4,19,21

1337477013804814340,Candidato Guillermo Lasso,29,18,4,19,21

1337475723443974147,Candidato Guillermo Lasso,32,19,4,19,21

1337458883011481600,Candidato Guillermo Lasso,35,20,4,19,21

1337456973877489664,Candidato Guillermo Lasso,38,21,4,19,21

1337456255338754048,Candidato Guillermo Lasso,41,22,4,19,21

1337449090926473216,Candidato Guillermo Lasso,44,23,4,19,21

1337448168729026561,Candidato Guillermo Lasso,47,24,4,19,21

1337447699524759555,Candidato Guillermo Lasso,50,25,4,19,21

1337447066960801794,Candidato Guillermo Lasso,53,26,4,19,21

1337442332929613832,Candidato Guillermo Lasso,56,27,4,19,21

1337431809458626573,Candidato Guillermo Lasso,59,28,4,19,21

1337419644613898242,Candidato Guillermo Lasso,62,29,4,19,21

1337416428920729600,Candidato Guillermo Lasso,65,30,4,19,21

1337403725338521601,Candidato Guillermo Lasso,68,31,4,19,21

1337401372417912832,Candidato Guillermo Lasso,71,32,4,19,21

1337401026123542534,Candidato Guillermo Lasso,74,32,4,17,21

1340377950328385536,Candidato Álvaro Noboa,0,0,4,18,0

1340351491257851904,Candidato Álvaro Noboa,0,0,4,18,0

1340307030771445761,Candidato Álvaro Noboa,0,1,4,21,1

1340300333331976192,Candidato Álvaro Noboa,0,2,4,20,16

1340211952484802563,Candidato Álvaro Noboa,0,2,4,19,1

1340180271463878657,Candidato Álvaro Noboa,0,3,4,20,16

1340147604324298752,Candidato Álvaro Noboa,0,4,4,20,16

1340116713757679618,Candidato Álvaro Noboa,0,4,4,18,0

1340080168006782977,Candidato Álvaro Noboa,1,5,4,21,3

1340061680009621506,Candidato Álvaro Noboa,2,6,4,21,3

1340061568533458945,Candidato Álvaro Noboa,3,7,4,21,3

1340061263351693312,Candidato Álvaro Noboa,4,7,4,19,3

1340025218270699524,Candidato Álvaro Noboa,4,8,4,20,16

1339996434960175104,Candidato Álvaro Noboa,4,9,4,20,16

1339994013760450560,Candidato Álvaro Noboa,4,10,4,20,16

1339992569900654594,Candidato Álvaro Noboa,4,11,4,20,16

1339990032011190277,Candidato Álvaro Noboa,4,12,4,20,16

